카테고리ID,카테고리,카테고리(EN),아이콘,토픽ID,토픽,토픽(EN),설명,예시 키워드
society,시사·사회,News & Society,📰,policy,정책·제도,Policy & Regulation,새로 바뀌는 법과 제도,정책 | 규제 | 법 개정 | 제도 개편 | 세금 | AI 규제
society,시사·사회,News & Society,📰,social,사회·노동,Society & Labor,"일자리, 인구, 불평등 같은 사회 문제",노동 | 일자리 | 인구 | 저출생 | 불평등 | 복지
society,시사·사회,News & Society,📰,media,미디어·언론,Media & Journalism,"뉴스가 만들어지는 방식, 플랫폼 변화",언론 | 저널리즘 | 가짜뉴스 | 플랫폼 | 여론 | 팩트체크
culture,문화·엔터,Culture & Entertainment,🎬,movie_drama,영화·드라마,Film & TV,"개봉작, 시리즈, OTT 화제작",영화 | 드라마 | 넷플릭스 | OTT | 개봉 | 시리즈
culture,문화·엔터,Culture & Entertainment,🎬,music,음악,Music,"신보, 공연, 아티스트 소식",음악 | 신보 | 공연 | K-POP | 앨범 | 페스티벌
culture,문화·엔터,Culture & Entertainment,🎬,book,책·문학,Books & Literature,"신간, 서평, 읽을거리",신간 | 서평 | 베스트셀러 | 문학 | 출판 | 독서
culture,문화·엔터,Culture & Entertainment,🎬,game,게임,Games,"신작, 업데이트, 게임 산업",게임 | 신작 | e스포츠 | 스팀 | 콘솔 | 인디게임
culture,문화·엔터,Culture & Entertainment,🎬,webtoon_anime,웹툰·애니,Webtoon & Anime,"연재작, 애니메이션, 원작 IP",웹툰 | 애니메이션 | 만화 | IP | 연재 | webtoon
culture,문화·엔터,Culture & Entertainment,🎬,art_design,예술·디자인,Art & Design,"전시, 건축, 디자인 트렌드",전시 | 디자인 | 건축 | 미술 | 타이포그래피 | UX 디자인
life,라이프·취미,Life & Hobbies,🌈,travel,여행,Travel,"여행지, 항공·숙소, 여행 팁",여행 | 항공권 | 숙소 | 여행지 | 해외여행 | 국내여행
life,라이프·취미,Life & Hobbies,🌈,food,음식·요리,Food & Cooking,"레시피, 맛집, 식재료",요리 | 레시피 | 맛집 | 식재료 | 베이킹 | 커피
life,라이프·취미,Life & Hobbies,🌈,sports,스포츠,Sports,"경기 결과, 리그, 선수 소식",스포츠 | 축구 | 야구 | 리그 | 선수 | 올림픽
life,라이프·취미,Life & Hobbies,🌈,fashion_beauty,패션·뷰티,Fashion & Beauty,"스타일, 화장품, 시즌 트렌드",패션 | 뷰티 | 화장품 | 스타일링 | 트렌드 | 스킨케어
life,라이프·취미,Life & Hobbies,🌈,home,홈·인테리어,Home & Interior,"집 꾸미기, 살림, 정리",인테리어 | 살림 | 정리수납 | 가구 | 홈데코 | 자취
life,라이프·취미,Life & Hobbies,🌈,pet,반려동물,Pets,"반려동물 건강, 훈련, 용품",반려동물 | 강아지 | 고양이 | 펫 | 훈련 | 동물병원
